ID,Essayset,min_score,max_score,score_1,score_2,score_3,score_4,score_5,clarity,coherent,EssayText
38,1.0,0,3,0,0,0.0,0.5,0.0,worst,worst,need know purpose experiment know difference mass sample need know esimate thought starting ending mass
39,1.0,0,3,1,1,1.0,1.5,2.0,above_average,excellent,add much vinegar add sample lab accurate also added trial well adding constant variable rock water
40,1.0,0,3,2,2,2.0,1.5,2.5,above_average,average,order replicate experiment would need know first calculate mass sample would also need know four sample stated procedure lastly repeat expirement would need know much vinegar placed container
41,1.0,0,3,1,1,1.0,0.5,0.5,worst,worst,additional information would needed replicate data would equipment needed experiment material going used much material used
42,1.0,0,3,3,3,3.0,3.0,3.0,excellent,excellent,order replicate experiment would need know amount vinegar pour container also need know pe coniainer pour vinegar also need know much long rinse sample distilled water
43,1.0,0,3,3,3,3.0,3.0,2.5,excellent,excellent,reading procedure would first need know sample testing second p would need know much vinegar put container next procedure tell thing case rinse sample distiled water
44,1.0,0,3,3,3,3.0,3.0,3.0,excellent,above_average,determine different sample state much vinegar would adding sample state long rising material water ex minute
45,1.0,0,3,2,2,2.0,2.0,1.0,excellent,worst,order replicate group experiment would need lot additional information first would need know using four sample rock bark
46,1.0,0,3,0,0,0.0,0.5,0.5,worst,worst,think experiment make description specific confused mistake cup instance could say cork sample place sample cup labeled
47,1.0,0,3,2,2,2.0,2.0,2.0,excellent,excellent,one extra thing need included material object four sample another thing included amount vinegar needed put container word sample specify exact amount rock needed repetition experiment needed verify result
48,1.0,0,3,0,0,1.0,0.0,0.0,worst,worst,could test sample could also constant added expariement also softy instanchings experiment like put goggles eye glove touching vinegar
49,1.0,0,3,0,0,0.0,0.0,0.0,worst,worst,take note way case mess information redo
50,1.0,0,3,3,2,2.0,2.0,2.0,above_average,excellent,much vinager pour label sit sitand dry min label container reapetedly separate identicle conatainer container use
51,1.0,0,3,1,1,1.0,1.0,0.5,worst,worst,order replicate experiment would need know different mauterials would also need know many different material starting mass material
52,1.0,0,3,0,0,0.0,0.0,0.0,worst,worst,experiment would determine ma sample pair vinegar container label would wait hour pour vinegar nose water let sample dry find mass difference
53,1.0,0,3,2,2,2.0,2.5,2.0,above_average,above_average,order complete experiment three aditional thing included first amount vinegar pout cup second list far sample procedure third record information obtained
55,1.0,0,3,2,2,1.5,2.0,2.0,above_average,average,procedure need state four type sample using marble limestone wood plastic need determine much vinegar pouring cup need set amount could also time different time could minute see change mass time
56,1.0,0,3,1,0,0.5,1.0,0.0,average,worst,information would need replicate experiment four different sample four identical container amount time let sample sit product rinse sample could let sit
57,1.0,0,3,0,0,0.0,0.5,1.0,average,worst,repeat experiment would need get average used last procedure let sit twenty eight hour instead twenty four rinse record change mass
58,1.0,0,3,2,2,2.0,2.0,2.5,above_average,average,need know exact amount vinegar going container make sure sample fair result also need set starting mass sample amount result reliable also need know kind big container result may unreliable container sample different volume shape
59,1.0,0,3,3,3,3.0,3.0,3.0,above_average,above_average,additional information would need many vinegar pouring also step say add sample material need know big sample would something could effect data could temperature putting experiment room temperature need know
60,1.0,0,3,3,3,3.0,3.0,3.0,above_average,excellent,replicate experiment procedure would require detail one piece information omitted amount vinegar used experiment also important know temperature experiment kept hour finally procedure need include detail experiment example whole sample must submerged
61,1.0,0,3,1,1,1.0,1.0,1.0,average,worst,would need amount vinegar poured cap experiment tell pour vinegar people read might know much vinegar put
62,1.0,0,3,3,3,3.0,2.5,2.0,excellent,excellent,group left important thing procedure first tell u sumples use experiment tell u much vinegar use size container would need information replicate lab
63,1.0,0,3,1,1,1.0,1.5,1.0,above_average,worst,would need name four sample using make table record data write need record starting mass ending mass difference mass
64,1.0,0,3,0,0,0.5,0.0,0.5,worst,worst,additional information would need found mass type instrument used also say place sample material much type going need
65,1.0,0,3,0,0,0.0,0.0,0.0,average,worst,first need measure container bxitsals subtract weight sample accidently extra weight calculate time diffrence took prepare use weight sample
66,1.0,0,3,0,0,0.0,0.0,0.0,average,worst,exactly replicate experiment would know measured mass object without would figure different mass know starting mass ending mass difference mass
67,1.0,0,3,1,1,0.5,1.0,2.0,worst,excellent,reading group procedure know much vinegar would pouring container group also state starting time added vinegar group also state reason data said determine
68,1.0,0,3,2,2,1.0,2.0,2.5,excellent,excellent,would need amount roch container would need amount vinegar r container would need kind vinegar container would need additional information replicate repricant would also need amount trial done
69,1.0,0,3,3,3,3.0,3.0,2.0,above_average,above_average,list material safety requirement p amount vinegar put container p temperature room vineger p control group
70,1.0,0,3,1,1,1.0,0.5,1.0,worst,worst,additional information need order replicate experiment control group control grap effect sample needed base answer reliable source also order replicate experiment need know amount vinegar putting sample also would need know
71,1.0,0,3,1,1,1.0,2.0,1.0,excellent,worst,would need imformation much vinegar added every sample example one sample different amount vinegar throw ending mass
72,1.0,0,3,2,2,2.0,2.0,2.5,excellent,average,would need know sample used experiment say sample need know much vinegar poured cup would need know unit measure mass sample would specify weigh using gram
73,1.0,0,3,0,0,0.0,0.0,0.0,average,worst,group student determine mass different sample would beginning investigation would use sample another experiment sample
74,1.0,0,3,1,1,1.0,1.0,1.0,worst,worst,statement need put measurement container p statmen much water p number whats measuremt suppost use mass
75,1.0,0,3,1,1,0.5,1.0,1.0,average,worst,additional information procedure would use amount vinegar container also make sure time sample also measure mass dry find difference starting mass
76,1.0,0,3,3,3,2.0,2.0,2.5,excellent,average,order replicate ta experiment person would need know thing would need know substance use much one person would need know much vinegar put container would also need know temperature put ta container one might also want know type container write finding
77,1.0,0,3,3,3,2.5,3.0,2.0,excellent,above_average,would need know much vinegar placed container type sample measuring placing container temperature storing ensure equal experiment
78,1.0,0,3,0,0,0.0,0.0,1.0,average,worst,additional piece information shuld included procedure would would using determine mass scale controlled variable evident procedure one last thing move table starting mass endingmass difference mass using gram
79,1.0,0,3,1,1,0.5,1.0,1.0,average,worst,replicate experiment would need know many ml vinegar poured container would also need know much distilled water supposed poured onto sample also may want starting mass sample
80,1.0,0,3,1,1,2.0,1.0,1.0,average,worst,order replicate experiment would need know thing stated procedure would need know amount vinegar poured container amount time sample vinegar amount distilled water used rinse
81,1.0,0,3,3,3,2.0,3.0,3.0,above_average,average,additional thing would put procedure find temperature left container would also include sample testing experiment lastly would also put procedure much amount vinegar putting
82,1.0,0,3,2,2,2.0,2.5,2.0,above_average,above_average,order replicate experiment must able know four material measure mass much vinegar poured container much distilled water rinse start saying determine mass put tripple beam balance four diff sample name pour vinegar much container step step wash much distilled water would better
83,1.0,0,3,2,2,2.0,2.0,1.0,above_average,worst,order replicate experiment would need know size container would place sample would need know amount vinegar putting container would need know use measure mass example tripple beam balance etc would also need know material use place sample container
84,1.0,0,3,0,0,0.0,0.5,0.0,worst,worst,got put vinegar wood make different mass plastic little vinegar could reaction
85,1.0,0,3,1,1,0.5,2.0,1.0,above_average,worst,another trial amount vinegar used changing time make sure accurate youill change experiment changing important thing
86,1.0,0,3,3,3,3.0,2.0,2.5,above_average,above_average,replicate experiment one must know information given procedure first must know much vinegar put container enough cover next need know vinegar affect material completely submerge partially finally need know material use data indicates procedure
87,1.0,0,3,0,0,0.0,0.0,0.5,average,worst,three additional piece information would need replicate procedure gather material use control finish record data
88,1.0,0,3,1,1,1.5,1.0,1.0,average,worst,order replicate experiment would need know several piecesof information one amount material wood plastic marble limestone would also need know much vinegar add finally constant material would alsohelp
89,1.0,0,3,0,0,0.5,0.0,0.0,average,worst,independent varriable imarble limestone wood plastic marble starting point g limestone g wood starting point end exeperiment determine mass sample
90,1.0,0,3,2,2,1.0,2.0,2.0,excellent,above_average,additional information could useful order replicate experiment would list actual sample procedure see using secondly procedure nade need weigh mass example tell weigh gram able complete experiment easily tell much vinegar actually pour container order replicate would need know
91,1.0,0,3,3,3,3.0,3.0,3.0,excellent,above_average,think knowing temperature envoment would useful sure heated sample froze sample get result also need know type environment place sunny dark windy hot cold etc also think know kind container large even know right amount vinegar pour sample experiment missing much information
92,1.0,0,3,0,0,0.0,0.5,0.0,average,worst,order replicate expirement woukd need know reaserching expirement kind result booked mass sample end expirment theie result
93,1.0,0,3,3,3,3.0,3.0,3.0,above_average,average,order replicate experiment would need know much vinegar pour container would need know long rinse sample distilled water using much water would also need know determined mass sample beginning end experiment exact size container sample placed
94,1.0,0,3,1,2,1.0,2.0,2.0,above_average,excellent,order replicate experiment would need control would also need four sample use another thing vinegar use weigh mass one would need replicate experiment
95,1.0,0,3,3,1,1.0,1.0,1.5,average,excellent,additional information needed order replicate experiment amount vinegar placed container amount vinegar must kept constant order data valid result acquired experiment affected amount vingar increased decreased therefore amount vinegar needed order replicate experiment
97,1.0,0,3,3,3,2.0,3.0,3.0,above_average,excellent,order replicate experiment procedure would add detail first bullet four sample stated marble limestone wood plastic describe container put sample much need step find starting mass experiment also measurement much vinegar added one last thing say determine mass procedure say gram
98,1.0,0,3,1,1,1.0,1.0,1.0,average,worst,told sample used second thing outcome happened differ
100,1.0,0,3,2,2,2.0,2.0,2.0,excellent,excellent,group added amount vinegar used control also compared least one trial material reply conclusion recommended size sample also stated order conclusion easy compare group attempting complete experiment
101,1.0,0,3,3,3,3.0,3.0,3.0,above_average,excellent,additional information would need replicate experiment would actual name sample step would need exact amount vinegar pour container also step would need amount distilled water rinse long
102,1.0,0,3,2,2,1.0,2.0,2.5,above_average,above_average,order replicate experiment additional information would need grap determined mass sample use would also need know amount vinegar used pour container well kind container used
103,1.0,0,3,1,1,2.0,1.0,2.0,average,average,first group student forgot addd step much vinegar going poured identical container step number student say organize sample record separate data sample different marble limestone wood plastic student also forgot include step find difference mass another group student going exact experiment know comparing
104,1.0,0,3,2,2,2.0,2.0,2.0,excellent,above_average,experiment would taken temp room also would given measurement much vinegar used
105,1.0,0,3,0,2,2.5,2.0,2.0,above_average,excellent,reading group procedure following additional information needed need observe container fill content need make sure container amount also make sure container room temp
106,1.0,0,3,1,1,1.0,0.5,1.0,average,worst,additional information needed amount vinegar poured cut also need record information need know much water putting container hour
107,1.0,0,3,2,3,3.0,3.0,3.0,excellent,above_average,would need size container amount vinegar used type sample earth wood limestone plastic much put
108,1.0,0,3,3,3,3.0,3.0,2.0,above_average,above_average,addition information given would also need know much vinegar put container different amount could change result also set temperature keep sample change temperature affect corossion process experiment told sample somewhat even size
109,1.0,0,3,1,1,1.5,1.0,0.5,worst,worst,additional information needed order replicate experiment measur ments liquid poured cup also wat size cup liquid poured procedure say pour vinegar four separate identical container additional information needed order replicate experiment
110,1.0,0,3,0,0,0.0,0.0,0.0,worst,worst,additional information could added weighed sample put vinegar
111,1.0,0,3,0,0,0.0,0.0,1.0,worst,worst,box done time would average
112,1.0,0,3,1,1,1.0,1.5,1.0,above_average,worst,would need know material getting begin experiment looking experiment going determine ma sement
113,1.0,0,3,1,1,1.0,1.0,1.0,worst,worst,additional information would need replicate experiment proceeduce include type sample using also explain using vinegar finally tell reader weighing
115,1.0,0,3,1,1,1.5,1.0,1.0,worst,worst,order replicate experiment know much sample supposed start trying determine experiment know container kept room temperature outside etc
116,1.0,0,3,0,0,0.0,0.0,0.0,average,worst,order replicate experiment youwould need starting mass ending mass difference mass
117,1.0,0,3,2,3,3.0,2.0,3.0,excellent,average,would need find label different size shape sample pour vinegar instead say drop container want everything pour always get exact amount container also state mass ph label vinegar
118,1.0,0,3,0,0,0.5,0.5,1.0,average,worst,going need much total
119,1.0,0,3,0,0,0.0,0.0,0.0,average,worst,pour vinegar four separate identical container p place one sample conteiner rest p hr remove sample rinse p sit drt min p determine mles
120,1.0,0,3,2,3,3.0,3.0,3.0,excellent,average,replicate experiment would need know mass amount vinegar used cup also necessary know temperature room experiment performed different temperature could speed slow reaction cup last piece information required would size cup used experiment volume cup shape cup could completely alter result experiment
121,1.0,0,3,1,1,1.0,1.5,1.0,above_average,worst,replicate experiment would give required tool list people prepared would also specific word sample describe rock stone importantly would make control would put marble limestone wood plastic water
122,1.0,0,3,2,2,2.0,2.0,2.0,above_average,average,order replicate experiment would need additional information first would need know much vinegar use container second would need know material would placing vinegar
123,1.0,0,3,1,2,2.0,2.0,1.0,above_average,worst,would need know replicate experiment amount vinegar put cup also would need list material using another thing would need know measurement mass would use
124,1.0,0,3,1,1,0.5,0.5,1.0,average,worst,would need semples number
125,1.0,0,3,0,0,1.0,0.5,0.0,average,worst,would better three trial data average data also total data could better
126,1.0,0,3,3,3,2.5,2.5,3.0,above_average,above_average,first would need know sample talking next would need know much vinegar need put container could also need long rinse sample
127,1.0,0,3,0,0,0.0,0.0,0.0,worst,worst,additional information would need radicate experiment would explain look outcome experiment would put hour remove sample container rinse sample w distilled water allow sample sit dry minute instead putting determine mass sample would tell outcome happened experiment turned
128,1.0,0,3,0,0,0.0,0.0,0.0,worst,worst,need add subtena many number sample amount four layer divide eight
129,1.0,0,3,1,1,1.0,1.0,1.0,average,worst,order replicate experiment control would need established also mass would need determined every material mass beginning experiment order accurately replicate experiment would help know container covered uncovered hour
130,1.0,0,3,3,3,2.5,2.0,3.0,excellent,above_average,would word correct safety measure take control effect vinegar temperature store identical container made size type scale use meas amount vinegar container trial
132,1.0,0,3,2,2,1.0,2.0,2.0,above_average,excellent,question would need include measurement container amount vinegar poured cup
133,1.0,0,3,2,2,2.0,2.0,2.0,excellent,excellent,order replicate experiment would need know container use measure mass sample would also need know much vinegar put container
134,1.0,0,3,0,0,0.0,0.5,0.0,average,worst,would need know portion used ruin experiment usin enough much may give result
135,1.0,0,3,3,3,3.0,2.0,3.0,excellent,excellent,order replicate lab student would need know material need kind area going lab much vinegar need pour sample
136,1.0,0,3,2,3,3.0,3.0,3.0,above_average,average,additional information needed procedure state sample going used also include much vinegar need pour container different amount could different result lastly include size container could different result
137,1.0,0,3,2,1,1.0,1.5,1.0,above_average,worst,additional information included procedure replicate would clarify first step sample going would also good add put sample sitting vinegar would clarified procedure also added use measure sample would also helpful procedure included much sample test
138,1.0,0,3,3,3,3.0,3.0,3.0,above_average,average,reading group procedure additional information would need order replicate experiment need know size container sample put need identical u also need know tha amount sample u need put container order obtain tha starting mass group student recieved sample another factor know amount vinegar u pour container concerning oud example experiment another good peice information would location sample drying amount sunlight
139,1.0,0,3,3,3,3.0,3.0,3.0,excellent,average,additional information needed would container sit sun refrigerator much vinegar putting container kind container using
140,1.0,0,3,2,2,1.5,2.0,2.0,excellent,excellent,student say experiment sample used also say much water use distilling sample also need say much vinegar pouring labeled cup
141,1.0,0,3,2,2,1.0,1.5,2.0,excellent,excellent,three additional piece information would need know replicate experiment would exactly four sample much vinegar pour container exactly purpose problem statement experiment also much distilled water would need use
142,1.0,0,3,2,2,2.0,2.0,2.0,excellent,average,procedure would also need know much vinegar use scale measure using big container
143,1.0,0,3,3,2,2.0,2.0,2.0,excellent,average,order complete experiment would need additional information would need know list material everything complete experiment would also need know experiment performed weigh outside factor might also need know know constant type vinegar time started
145,1.0,0,3,2,2,2.0,1.0,2.0,average,excellent,reading procedure thing need know replicate experiment one thing amount vinegar used another much water use rinsing last thing store sample hour problem procedure
146,1.0,0,3,3,3,3.0,3.0,3.0,excellent,average,would amount vinegar put cup also container covered would helpful know type container material put
147,1.0,0,3,1,1,1.0,1.5,1.0,above_average,worst,need know big container many
148,1.0,0,3,2,2,2.5,2.5,2.0,above_average,above_average,sample material use much vinegar poored container
149,1.0,0,3,0,0,1.0,1.0,0.5,average,worst,student made hypothesis thought going happen also stated investigating made conclusion result
150,1.0,0,3,1,1,1.0,1.0,2.0,worst,above_average,order replicate experiment would need additional information like much vinegar poured separate container tool use safety goggles trial
151,1.0,0,3,1,1,0.5,1.0,1.5,average,average,needed add sample mass determined need tell table container need record tour data
152,1.0,0,3,2,1,1.0,1.0,1.0,worst,worst,additional information would need order replicate experiment would much vinegar put container also supposed label container quite sure measure mass using scale scale sample also big sample sapposed
153,1.0,0,3,3,3,3.0,3.0,2.5,above_average,average,replicate experiment would need know volume vinegar cup temperature surroundings exact acidity vinegar ph scale
154,1.0,0,3,0,0,0.0,0.5,1.0,average,worst,replicate group experiment would need add information even lab valid
155,1.0,0,3,2,3,3.0,3.0,3.0,above_average,average,would need add much vinegar needed poured container think student started mass type vinegar temperature matter
156,1.0,0,3,0,0,0.0,1.0,0.0,worst,worst,additional information would much sample would put vinegar also maybe sit hour hav sit le could also rinsed replica water instead distilled water
157,1.0,0,3,2,2,2.0,2.0,2.0,excellent,excellent,additional information necessary replicate experiment p amount vinegar pour must remain constant credible experiment p type sample used procedure p
158,1.0,0,3,1,1,1.0,1.0,1.0,average,worst,replicate experiment would need find much vinegar pour container know marble lost gram limestone lost gram plastic lost gram wood stayed need know much vinegar used sample
159,1.0,0,3,0,0,0.5,0.0,0.0,average,worst,information need experiment allready know wood one mass plastic least one maybe would explained better able complete mass look like estimate mass
160,1.0,0,3,2,2,2.0,2.0,2.5,excellent,above_average,additional information would need order replicate experiment difference mass beginning experiment end experiment also need know sample would need amount vinegar container
161,1.0,0,3,1,1,1.5,1.0,1.0,average,worst,replicate group procedure would need tell reader much vinegar put container much one sample material want want u determine mass
162,1.0,0,3,1,1,2.0,1.0,0.5,worst,worst,couple addition made replicate lab accurately procedure say measure mass sample wi without petri dish also say measured particular instrument balance beam another part left forgot tell much vinegar four sample need one get another might change weight much water torince sample
163,1.0,0,3,1,1,1.0,2.0,1.0,excellent,worst,would need tel type sample also type untensil use measure mass sample also would need repeat replicating trial test experiment also need tell label container experiment also need reach mass sample look using five sens whatever make data show result
165,1.0,0,3,2,2,2.0,2.0,1.0,excellent,worst,order able duplicate experiment need following information much vinegar use also big container e volume lastly much sample put container
166,1.0,0,3,1,1,0.5,1.0,1.0,worst,worst,additional information would need much vinegar put onto sample vinegar put one sample another likely mass different way example vinegar put wood plastic wood mass lost plastic would
167,1.0,0,3,0,0,0.0,0.0,0.0,average,worst,order deplicate experiment would need state exectly much certain chemical need pour case imperative get right amount substance result may difficient
168,1.0,0,3,3,3,3.0,2.5,2.0,above_average,average,repeat experiment would need know four different sample without knowing know testing also need know much vinegar cup would need know put different container know need stay room temp cold
169,1.0,0,3,0,0,0.0,0.5,0.0,worst,worst,repeat step experiment start step go way step
170,1.0,0,3,1,1,1.0,1.5,1.0,excellent,worst,replicate procedure would need know much vinegar pour container would also need know started know finish experiment
171,1.0,0,3,1,0,0.0,0.0,0.0,average,worst,material use inorder experiment tell u sudstances used procedure also tell u get starting weight
172,1.0,0,3,2,2,2.0,2.0,2.0,above_average,excellent,reading group procedure order replicate experiment would need know size container smaller container densely packed sample would also need know whether light heat dark cold affect experiment
173,1.0,0,3,1,0,0.0,0.5,0.5,worst,worst,procedure specific include experiment need ending mass difference beginning end material listed within procedure mini procedure material
174,1.0,0,3,3,3,2.5,2.5,3.0,above_average,average,order replicate experiment would need know additional information four different sample used could choosen metal carbboard many sample material use would get different result also would also need know amount vinegar pour caute major change lastly might want tell sit sample dry minute sitting room temp light source make difference
175,1.0,0,3,1,1,1.0,2.0,0.5,above_average,worst,replicate experiment would need tell much vinnegar put cup rock way tell u experiment
177,1.0,0,3,2,2,2.0,2.0,2.0,above_average,above_average,student procedure reliable one material needed mention kind material us reducing ism sample also needed know much vinegar pour cup material also include control group centered post experiment student variable unchecked also included trial
178,1.0,0,3,1,1,1.0,1.0,2.0,worst,average,would need know amount vinegar added sample replicate experiment
179,1.0,0,3,2,3,2.5,2.5,2.5,excellent,excellent,additional information would need know order replicate experiment kind sample using step tell determine mass four different sample tell kind step tell pour vinegar container tell size type container sample removed container hour need find mass sample step tell subtract end mass slurhnf
180,1.0,0,3,1,1,1.0,1.0,2.0,worst,average,group need add label
181,1.0,0,3,0,1,1.5,1.0,1.0,average,worst,first woule say need get material would use get mass different material woule place container waiting result
182,1.0,0,3,3,3,3.0,2.5,2.0,above_average,excellent,first would need know exactly much vinegar pour identical container would also need know size material container made lastly tell leave container sun dry cold place etc
183,1.0,0,3,2,2,2.0,1.0,2.0,worst,excellent,step need know sample list type rock p step long sample rinsed amount time given p step say correct new mass sample
184,1.0,0,3,1,1,1.0,1.0,1.0,average,worst,procedure clear need say sample name know also need say measure mass four different sample putting vinegar finally repeat experiment several time see difference maybe keep sample container longer time see result
185,1.0,0,3,0,0,1.0,1.0,0.0,worst,worst,would need observation whole experiment maybe repeat experiment see anythings changed also try another sample
186,1.0,0,3,2,2,1.0,2.0,2.0,above_average,above_average,experiment lacking several piece information procedure example amount vinegar added container described method determining mass well four sample material specified procedural information
187,1.0,0,3,1,1,1.0,1.0,2.0,average,average,would know kind area would leave hour temperature p would know kind wood use specific p also step say use determine mass rock plastic wood
188,1.0,0,3,3,3,2.5,3.0,3.0,excellent,excellent,order replicate experiment need know sample taken size sample size container much vinegar used sample
189,1.0,0,3,0,0,1.0,1.0,0.0,worst,worst,group procedure additional information label named
190,1.0,0,3,2,2,2.5,2.0,2.0,above_average,excellent,additional information would need would control see would happen mass vinegar would also need know size container much vinegar would use
191,1.0,0,3,0,0,0.0,1.0,0.0,worst,worst,order replicate experiment belive information wanted would starting row ending mass difference mass additional information opinion would structure changed throughout procedure f record data procedure would successful see difference mass four sample
192,1.0,0,3,0,0,0.0,0.0,1.0,worst,worst,think project probably two time see project right also written conclusion well putting graph
193,1.0,0,3,0,0,0.5,0.0,0.5,worst,worst,procedure would need add time stone rock plastic began change vinegar added could explain would change time one marble limestone wood plastic procedure explained hr write time difference one put overall time
194,1.0,0,3,1,1,1.0,2.0,1.0,above_average,worst,reading group procedure found additional piece informotins duplicate experiment need know independent variable dependent variadle much vinegar pour seperate container
195,1.0,0,3,3,3,3.0,2.0,2.5,excellent,average,reading group procedure one additional piece information would need replicate experiment four different sample another thing would need know much vinegar put sample last piece additional information would need big sample
196,1.0,0,3,3,3,2.0,3.0,3.0,above_average,above_average,additional information would need order replicate experiment mass container placed substance sample order find mass sample need subtract mass container also necessary know much vinegar mix sample also need know type environment put sample waiting hour lastly need know type container put sample may affect sample react
197,1.0,0,3,2,2,2.0,1.5,2.0,excellent,above_average,order replicate experiment person performing thing differently first state material using second set measurement much vinegar pour container third state must find difference starting ending mass
198,1.0,0,3,1,1,2.0,1.0,1.0,worst,worst,need know much vinigar put container going get mass sample going calculate difference included student procedure
199,1.0,0,3,3,3,3.0,2.0,2.0,above_average,average,replicate experiment would need know kind word used also need know long would rinse sample distilled water size container would essential well would know much vinegar used
200,1.0,0,3,0,0,0.0,0.0,0.5,worst,worst,additional information would need order replicate experiment would group explain determine mass material find starting mass explain specifically place material separate container le confusion explain find ending mass difference mass
201,1.0,0,3,0,0,0.0,0.0,0.0,worst,worst,would need marble limestone wood plastic
202,1.0,0,3,1,1,1.0,1.0,1.0,average,worst,would need amount vineger sample sat amount water rinsed amount sample
203,1.0,0,3,0,0,0.0,0.0,0.0,worst,worst,know replicate mean know anser question
